vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,0,0.137,0.127,0,0,0,0,0,0.00538383,1
1,0.002794,0.137,0.127,-1.54573e-06,0.000121892,0.000103972,0,0.002794,0.00538382,1
2,0.005588,0.137,0.127,-5.731e-06,0.000232246,0.000196585,0,0.005588,0.00538381,1
3,0.008382,0.137,0.127,-1.23525e-05,0.000333188,0.000279799,0,0.008382,0.00538379,1
4,0.011176,0.137,0.127,-2.14233e-05,0.000424106,0.00035308,0,0.011176,0.00538378,1
5,0.01397,0.137,0.127,-3.25504e-05,0.000506522,0.000417969,0,0.01397,0.00538377,1
6,0.016764,0.137,0.127,-4.54946e-05,0.000581332,0.000475391,0,0.016764,0.00538376,1
7,0.019558,0.137,0.127,-6.02717e-05,0.000648342,0.000525218,0,0.019558,0.00538375,1
8,0.022352,0.137,0.127,-7.6476e-05,0.000709153,0.000569077,0,0.022352,0.00538374,1
9,0.025146,0.137,0.127,-9.39717e-05,0.000764239,0.000607489,0,0.025146,0.00538372,1
10,0.02794,0.137,0.127,-0.00011268,0.000813791,0.000640728,0,0.02794,0.00538371,1
11,0.030734,0.137,0.127,-0.000132319,0.00085896,0.000669949,0,0.030734,0.0053837,1
12,0.033528,0.137,0.127,-0.000152792,0.000900048,0.000695511,0,0.033528,0.00538368,1
13,0.036322,0.137,0.127,-0.000173975,0.00093749,0.000717895,0,0.036322,0.00538367,1
14,0.039116,0.137,0.127,-0.000195688,0.000972043,0.000737838,0,0.039116,0.00538365,1
15,0.04191,0.137,0.127,-0.000217853,0.00100395,0.000755622,0,0.04191,0.00538363,1
16,0.044704,0.137,0.127,-0.000240344,0.00103371,0.000771745,0,0.044704,0.00538361,1
17,0.047498,0.137,0.127,-0.000263051,0.00106183,0.000786661,0,0.047498,0.00538359,1
18,0.050292,0.137,0.127,-0.000285897,0.00108854,0.000800629,0,0.050292,0.00538357,1
19,0.053086,0.137,0.127,-0.000308785,0.00111433,0.000814052,0,0.053086,0.00538354,1
20,0.05588,0.137,0.127,-0.000331645,0.00113953,0.000827216,0,0.05588,0.00538351,1
21,0.058674,0.137,0.127,-0.000354393,0.00116443,0.000840398,0,0.058674,0.00538348,1
22,0.061468,0.137,0.127,-0.000376976,0.0011894,0.000853857,0,0.061468,0.00538345,1
23,0.064262,0.137,0.127,-0.00039934,0.0012147,0.000867802,0,0.064262,0.00538341,1
24,0.067056,0.137,0.127,-0.000421402,0.00124069,0.000882533,0,0.067056,0.00538337,1
25,0.06985,0.137,0.127,-0.000443146,0.00126757,0.000898161,0,0.06985,0.00538332,1
26,0.072644,0.137,0.127,-0.000464518,0.00129561,0.000914889,0,0.072644,0.00538327,1
27,0.075438,0.137,0.127,-0.000485448,0.00132515,0.000932969,0,0.075438,0.00538321,1
28,0.078232,0.137,0.127,-0.000505934,0.00135626,0.000952415,0,0.078232,0.00538315,1
29,0.081026,0.137,0.127,-0.000525914,0.00138922,0.000973419,0,0.081026,0.00538309,1
30,0.08382,0.137,0.127,-0.000545327,0.00142428,0.000996109,0,0.08382,0.00538301,1
31,0.086614,0.137,0.127,-0.000564171,0.0014614,0.0010204,0,0.086614,0.00538293,1
32,0.089408,0.137,0.127,-0.00058235,0.00150085,0.00104642,0,0.089408,0.00538284,1
33,0.092202,0.137,0.127,-0.000599807,0.00154266,0.00107407,0,0.092202,0.00538274,1
34,0.094996,0.137,0.127,-0.000616517,0.00158674,0.00110315,0,0.094996,0.00538263,1
35,0.09779,0.137,0.127,-0.000632324,0.00163325,0.00113356,0,0.09779,0.0053825,1
36,0.100584,0.137,0.127,-0.000647173,0.00168199,0.00116492,0,0.100584,0.00538237,1
37,0.103378,0.137,0.127,-0.000661003,0.00173273,0.00119684,0,0.103378,0.00538222,1
38,0.106172,0.137,0.127,-0.000673567,0.00178549,0.00122884,0,0.106172,0.00538206,1
39,0.108966,0.137,0.127,-0.000684834,0.0018398,0.00126031,0,0.108966,0.00538188,1
40,0.11176,0.137,0.127,-0.000694706,0.0018953,0.00129064,0,0.11176,0.00538168,1
41,0.114554,0.137,0.127,-0.000702821,0.00195167,0.00131882,0,0.114554,0.00538146,1
42,0.117348,0.137,0.127,-0.000709227,0.00200828,0.00134427,0,0.117348,0.00538122,1
43,0.120142,0.137,0.127,-0.000713747,0.00206461,0.00136619,0,0.120142,0.00538097,1
44,0.122936,0.137,0.127,-0.000716025,0.00211986,0.00138329,0,0.122936,0.00538068,1
45,0.12573,0.137,0.127,-0.000716141,0.00217338,0.00139527,0,0.12573,0.00538038,1
46,0.128524,0.137,0.127,-0.000713877,0.00222431,0.00140127,0,0.128524,0.00538005,1
47,0.131318,0.137,0.127,-0.000708947,0.00227146,0.00140026,0,0.131318,0.00537969,1
48,0.134112,0.137,0.127,-0.000701464,0.00231416,0.00139242,0,0.134112,0.00537931,1
49,0.136906,0.137,0.127,-0.000691177,0.0023511,0.00137703,0,0.136906,0.00537891,1
50,0.1397,0.137,0.127,-0.000677944,0.00238088,0.00135379,0,0.1397,0.00537848,1
51,0.142494,0.137,0.127,-0.000661913,0.00240286,0.00132324,0,0.142494,0.00537803,1
52,0.145288,0.137,0.127,-0.000642838,0.00241516,0.00128498,0,0.145288,0.00537755,1
53,0.148082,0.137,0.127,-0.000620808,0.00241651,0.0012396,0,0.148082,0.00537705,1
54,0.150876,0.137,0.127,-0.000596049,0.00240634,0.00118787,0,0.150876,0.00537654,1
55,0.15367,0.137,0.127,-0.000568431,0.00238227,0.00112971,0,0.15367,0.005376,1
56,0.156464,0.137,0.127,-0.000538306,0.0023439,0.00106601,0,0.156464,0.00537545,1
57,0.159258,0.137,0.127,-0.000506,0.00229092,0.000997448,0,0.159258,0.0053749,1
58,0.162052,0.137,0.127,-0.000471624,0.00222084,0.000924028,0,0.162052,0.00537433,1
59,0.164846,0.137,0.127,-0.000435783,0.00213466,0.000846639,0,0.164846,0.00537376,1
60,0.16764,0.137,0.127,-0.000398926,0.0020325,0.000765696,0,0.16764,0.0053732,1
61,0.170434,0.137,0.127,-0.000361547,0.00191232,0.000681087,0,0.170434,0.00537264,1
62,0.173228,0.137,0.127,-0.000324327,0.00177666,0.000593489,0,0.173228,0.00537209,1
63,0.176022,0.137,0.127,-0.000287859,0.00162582,0.000502992,0,0.176022,0.00537156,1
64,0.178816,0.137,0.127,-0.000253013,0.00145941,0.000409434,0,0.178816,0.00537106,1
65,0.18161,0.137,0.127,-0.000220347,0.00128014,0.000313164,0,0.18161,0.00537058,1
66,0.184404,0.137,0.127,-0.000190655,0.00108868,0.000214043,0,0.184404,0.00537013,1
67,0.187198,0.137,0.127,-0.00016497,0.000885852,0.000111804,0,0.187198,0.00536973,1
68,0.189992,0.137,0.127,-0.000143715,0.000673914,6.53965e-06,0,0.189992,0.00536936,1
69,0.192786,0.137,0.127,-0.000127956,0.000453562,-0.00010221,0,0.192786,0.00536904,1
70,0.19558,0.137,0.127,-0.000118725,0.000225893,-0.000214987,0,0.19558,0.00536877,1
71,0.198374,0.137,0.127,-0.000116406,-7.71748e-06,-0.000332105,0,0.198374,0.00536855,1
72,0.201168,0.137,0.127,-0.000122535,-0.000247098,-0.000454807,0,0.201168,0.00536838,1
73,0.203962,0.137,0.127,-0.000138059,-0.00049182,-0.000584278,0,0.203962,0.00536826,1
74,0.206756,0.137,0.127,-0.000163542,-0.000741717,-0.000721663,0,0.206756,0.0053682,1
75,0.20955,0.137,0.127,-0.000201344,-0.000997937,-0.000870077,0,0.20955,0.00536819,1
76,0.212344,0.137,0.127,-0.00025222,-0.00126135,-0.0010319,0,0.212344,0.00536824,1
