vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,0.137,0,0.127,6.09195e-27,-2.31884e-28,-1.59343e-27,0,0,0.00520743,1
1,0.137,0.002794,0.127,-0.000239089,9.71702e-06,6.21551e-05,0,0.002794,0.00520747,1
2,0.137,0.005588,0.127,-0.000459887,3.33415e-05,0.000110484,0,0.005588,0.00520755,1
3,0.137,0.008382,0.127,-0.000676303,7.16491e-05,0.000148885,0,0.008382,0.00520762,1
4,0.137,0.011176,0.127,-0.000883607,0.000122194,0.000177776,0,0.011176,0.00520768,1
5,0.137,0.01397,0.127,-0.00108093,0.00018329,0.000198242,0,0.01397,0.00520772,1
6,0.137,0.016764,0.127,-0.0012678,0.000253542,0.000211549,0,0.016764,0.00520775,1
7,0.137,0.019558,0.127,-0.00144382,0.000331618,0.000219012,0,0.019558,0.00520776,1
8,0.137,0.022352,0.127,-0.0016087,0.00041621,0.000221936,0,0.022352,0.00520776,1
9,0.137,0.025146,0.127,-0.00176222,0.000506066,0.000221571,0,0.025146,0.00520773,1
10,0.137,0.02794,0.127,-0.00190427,0.000599994,0.000219075,0,0.02794,0.00520769,1
11,0.137,0.030734,0.127,-0.00203479,0.000696866,0.000215484,0,0.030734,0.00520763,1
12,0.137,0.033528,0.127,-0.00215379,0.000795628,0.000211693,0,0.033528,0.00520755,1
13,0.137,0.036322,0.127,-0.00226073,0.000895301,0.000208503,0,0.036322,0.00520745,1
14,0.137,0.039116,0.127,-0.0023557,0.000994856,0.000206563,0,0.039116,0.00520733,1
15,0.137,0.04191,0.127,-0.00243942,0.00109348,0.000206205,0,0.04191,0.00520718,1
16,0.137,0.044704,0.127,-0.002512,0.00119051,0.000207654,0,0.044704,0.00520702,1
17,0.137,0.047498,0.127,-0.00257351,0.00128534,0.000211014,0,0.047498,0.00520685,1
18,0.137,0.050292,0.127,-0.00262401,0.00137745,0.000216287,0,0.050292,0.00520665,1
19,0.137,0.053086,0.127,-0.0026635,0.00146639,0.000223397,0,0.053086,0.00520644,1
20,0.137,0.05588,0.127,-0.00269197,0.00155175,0.000232209,0,0.05588,0.00520622,1
21,0.137,0.058674,0.127,-0.00270938,0.00163318,0.000242551,0,0.058674,0.00520599,1
22,0.137,0.061468,0.127,-0.00271568,0.00171035,0.000254234,0,0.061468,0.00520574,1
23,0.137,0.064262,0.127,-0.00271082,0.00178296,0.000267068,0,0.064262,0.00520549,1
24,0.137,0.067056,0.127,-0.00269448,0.00185061,0.000280897,0,0.067056,0.00520523,1
25,0.137,0.06985,0.127,-0.00266602,0.0019127,0.000295598,0,0.06985,0.00520497,1
26,0.137,0.072644,0.127,-0.0026265,0.00196941,0.000310983,0,0.072644,0.0052047,1
27,0.137,0.075438,0.127,-0.00257612,0.00202053,0.000326978,0,0.075438,0.00520444,1
28,0.137,0.078232,0.127,-0.00251517,0.00206591,0.000343539,0,0.078232,0.00520417,1
29,0.137,0.081026,0.127,-0.00244407,0.00210542,0.000360653,0,0.081026,0.00520391,1
