vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,0.137,0.137,0.254,-3.79282e-18,-2.54157e-18,-2.76188e-20,0,0,0.00537853,1
1,0.137,0.137,0.251206,0.000295805,0.000207239,3.85662e-06,0,0.002794,0.0053785,1
2,0.137,0.137,0.248412,0.000541943,0.000412088,1.33182e-05,0,0.00558801,0.00537847,1
3,0.137,0.137,0.245618,0.000740291,0.000615802,2.84963e-05,0,0.00838201,0.00537844,1
4,0.137,0.137,0.242824,0.000897495,0.000815255,4.81144e-05,0,0.011176,0.00537841,1
5,0.137,0.137,0.24003,0.00101359,0.00100767,7.20337e-05,0,0.01397,0.00537839,1
6,0.137,0.137,0.237236,0.00109661,0.00119164,9.93643e-05,0,0.016764,0.00537836,1
7,0.137,0.137,0.234442,0.00114723,0.0013644,0.000130054,0,0.019558,0.00537834,1
8,0.137,0.137,0.231648,0.00117292,0.00152576,0.000163397,0,0.022352,0.00537831,1
9,0.137,0.137,0.228854,0.00117469,0.00167331,0.000199405,0,0.025146,0.00537828,1
10,0.137,0.137,0.22606,0.00115904,0.00180814,0.000237495,0,0.02794,0.00537826,1
11,0.137,0.137,0.223266,0.00112721,0.00192831,0.000277705,0,0.030734,0.00537823,1
12,0.137,0.137,0.220472,0.00108442,0.00203593,0.000319549,0,0.033528,0.00537821,1
13,0.137,0.137,0.217678,0.00103209,0.0021296,0.00036306,0,0.036322,0.00537819,1
14,0.137,0.137,0.214884,0.00097402,0.00221196,0.000407824,0,0.039116,0.00537817,1
15,0.137,0.137,0.21209,0.000911689,0.00228217,0.000453836,0,0.04191,0.00537815,1
16,0.137,0.137,0.209296,0.000847531,0.00234299,0.000500728,0,0.044704,0.00537814,1
17,0.137,0.137,0.206502,0.000782912,0.00239404,0.000548418,0,0.047498,0.00537813,1
18,0.137,0.137,0.203708,0.000719086,0.00243782,0.000596564,0,0.050292,0.00537812,1
19,0.137,0.137,0.200914,0.000657177,0.00247427,0.000644966,0,0.053086,0.00537812,1
20,0.137,0.137,0.19812,0.000597514,0.00250543,0.000693322,0,0.05588,0.00537812,1
21,0.137,0.137,0.195326,0.000540877,0.00253137,0.0007413,0,0.058674,0.00537812,1
22,0.137,0.137,0.192532,0.000486984,0.00255357,0.000788659,0,0.061468,0.00537812,1
23,0.137,0.137,0.189738,0.000436237,0.00257209,0.000834971,0,0.064262,0.00537813,1
24,0.137,0.137,0.186944,0.000388036,0.00258788,0.000880085,0,0.067056,0.00537813,1
25,0.137,0.137,0.18415,0.000342456,0.0026009,0.000923519,0,0.06985,0.00537814,1
26,0.137,0.137,0.181356,0.000298803,0.00261173,0.000965241,0,0.072644,0.00537815,1
27,0.137,0.137,0.178562,0.000256897,0.00262019,0.0010048,0,0.075438,0.00537817,1
28,0.137,0.137,0.175768,0.000216078,0.00262661,0.00104228,0,0.078232,0.00537818,1
29,0.137,0.137,0.172974,0.000175996,0.00263074,0.00107734,0,0.081026,0.0053782,1
30,0.137,0.137,0.17018,0.000136125,0.00263278,0.00111014,0,0.08382,0.00537822,1
31,0.137,0.137,0.167386,9.60357e-05,0.00263245,0.00114047,0,0.086614,0.00537824,1
32,0.137,0.137,0.164592,5.53301e-05,0.00262991,0.00116856,0,0.089408,0.00537826,1
33,0.137,0.137,0.161798,1.35715e-05,0.00262491,0.0011943,0,0.092202,0.00537829,1
34,0.137,0.137,0.159004,-2.95104e-05,0.00261757,0.00121798,0,0.094996,0.00537832,1
35,0.137,0.137,0.15621,-7.43064e-05,0.0026077,0.00123957,0,0.09779,0.00537835,1
36,0.137,0.137,0.153416,-0.000121009,0.0025954,0.00125935,0,0.100584,0.00537839,1
37,0.137,0.137,0.150622,-0.000169934,0.00258052,0.00127736,0,0.103378,0.00537843,1
38,0.137,0.137,0.147828,-0.000221204,0.00256314,0.00129382,0,0.106172,0.00537847,1
39,0.137,0.137,0.145034,-0.000275029,0.00254319,0.00130882,0,0.108966,0.00537851,1
40,0.137,0.137,0.14224,-0.000331517,0.00252069,0.00132249,0,0.11176,0.00537856,1
41,0.137,0.137,0.139446,-0.000390784,0.00249561,0.00133493,0,0.114554,0.00537861,1
42,0.137,0.137,0.136652,-0.000452948,0.00246794,0.0013462,0,0.117348,0.00537867,1
43,0.137,0.137,0.133858,-0.000518026,0.00243769,0.00135636,0,0.120142,0.00537873,1
44,0.137,0.137,0.131064,-0.000586176,0.0024048,0.00136538,0,0.122936,0.00537879,1
45,0.137,0.137,0.12827,-0.000657338,0.00236934,0.00137328,0,0.12573,0.00537886,1
46,0.137,0.137,0.125476,-0.00073172,0.00233118,0.00137992,0,0.128524,0.00537894,1
47,0.137,0.137,0.122682,-0.000809175,0.00229047,0.00138525,0,0.131318,0.00537902,1
48,0.137,0.137,0.119888,-0.000889968,0.00224703,0.00138901,0,0.134112,0.00537911,1
49,0.137,0.137,0.117094,-0.000973863,0.00220106,0.00139111,0,0.136906,0.0053792,1
50,0.137,0.137,0.1143,-0.00106117,0.00215233,0.00139109,0,0.1397,0.00537931,1
51,0.137,0.137,0.111506,-0.00115157,0.00210113,0.00138886,0,0.142494,0.00537942,1
52,0.137,0.137,0.108712,-0.00124538,0.00204718,0.00138371,0,0.145288,0.00537954,1
53,0.137,0.137,0.105918,-0.00134215,0.00199084,0.00137559,0,0.148082,0.00537968,1
54,0.137,0.137,0.103124,-0.0014422,0.00193183,0.00136348,0,0.150876,0.00537982,1
55,0.137,0.137,0.10033,-0.00154496,0.00187057,0.00134741,0,0.15367,0.00537997,1
56,0.137,0.137,0.097536,-0.00165064,0.00180677,0.001326,0,0.156464,0.00538014,1
57,0.137,0.137,0.094742,-0.00175856,0.00174091,0.00129943,0,0.159258,0.00538032,1
58,0.137,0.137,0.091948,-0.00186879,0.00167275,0.00126585,0,0.162052,0.00538051,1
59,0.137,0.137,0.089154,-0.00198056,0.00160281,0.00122572,0,0.164846,0.00538071,1
